text_a	bd_label	entity_label
肿 瘤 原 发 于 锁 骨 上 、 颈 部 较 多 见 ， 腋 下 、 腹 股 沟 、 腹 腔 淋 巴 结 为 原 发 者 相 对 少 见 。	B E O O O B E O O B E O O O O B E O B M E O B M M M E O O O O O O O O O	dis bod bod bod bod bod
【 诊 断 】 在 发 热 期 诊 断 比 较 困 难 ， 不 过 ， 从 患 儿 全 身 症 状 轻 微 与 高 热 表 现 不 一 致 ， 周 围 血 象 中 白 细 胞 总 数 减 少 ， 应 考 虑 之 。	O O O O O B E O O O O O O O O O O O O O O O O O O O O O B E O O O O O O O O B E O B M M M E M E O O O O O O	sym sym ite ite sym
尽 管 如 此 ， 对 腹 膜 后 淋 巴 结 的 评 估 仍 有 一 定 意 义 ， 据 统 计 每 6 例 临 床 表 现 无 淋 巴 结 浸 润 而 未 做 淋 巴 结 活 检 的 病 人 中 有 1 例 将 会 出 现 淋 巴 结 复 发 ， 有 淋 巴 结 转 移 的 病 人 须 接 受 放 疗 。	O O O O O O B E O B M E O O O O O O O O O O O O O O O O O O O O O B M E O O O O O B M M M E O O O O O O O O O O O B M E O O O O B M E O O O O O O O O B E O	bod bod bod pro bod bod pro
破 伤 风 毒 素 经 淋 巴 液 中 淋 巴 细 胞 入 血 ， 附 在 球 蛋 白 到 达 中 枢 神 经 系 统 ； 也 可 由 肌 肉 神 经 结 合 处 吸 收 ， 通 过 外 周 神 经 的 内 膜 和 外 膜 间 隙 或 运 动 神 经 轴 上 行 至 脊 髓 和 脑 干 。	B M M M E O B M E O O O O O O O O O O B M E O O B M M M M E O O O O B M M E O O O O O O O O O O O O O O O O O O O O O B M M M E O O O B E O B E O	mic bod bod bod bod bod bod bod
2 . 睡 眠 脑 电 图 睡 眠 时 脑 电 图 改 变 很 大 ， 但 有 一 定 规 律 性 ， 一 般 把 睡 眠 过 程 分 为 下 列 四 期 ： （ 1 ） 思 睡 期 ： 开 始 α 节 律 波 幅 增 高 ， 区 域 扩 大 ， 然 后 α 节 律 减 少 ， 频 率 变 慢 ， 波 幅 减 低 ， 常 短 阵 或 成 对 出 现 。	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M E O	sym
二 、 新 生 儿 后 期 贫 血 新 生 儿 后 期 贫 血 主 要 是 指 出 生 1 周 以 后 发 生 的 贫 血 ， 一 般 多 为 慢 性 贫 血 ， 主 要 有 以 下 几 种 类 型 ： （ 一 ） 新 生 儿 生 理 性 贫 血 新 生 儿 生 理 性 贫 血 是 指 足 月 儿 生 后 6 ～ 1 2 周 时 血 红 蛋 白 下 降 至 9 5 ～ 1 1 0 g / L ， 主 要 原 因 有 ： 在 宫 内 ， 胎 儿 血 氧 饱 和 度 约 5 0 % ，	O O O O O O O B E O O O O O B E O O O O O O O O O O O O O B E O O O O O O O O O O O O O O O O O O O O O O O B M M M M M M E B M M M M M M E O O O O O O O O O O O O O B M M E O O O O O O O O O O O O O O O O O O O O O O O O O B M M M E O O O O O	dis dis dis dis O dis bod ite
可 出 现 气 胸 及 支 气 管 肺 发 育 不 良 。	O O O B E O B M M M M M M E O	dis dis
目 前 认 为 ， 蚕 豆 中 含 有 大 量 左 旋 多 巴 ， 在 酪 氨 酸 酶 的 作 用 下 ， 可 变 成 多 巴 醌 ， 后 者 可 使 G S H 含 量 减 少 而 发 生 溶 血 。	O O O O O O O O O O O O B M M E O O B M M E O O O O O O O O B M E O O O O O B M E O O O O O O O B E O	bod bod bod bod sym
（ 七 ） 代 谢 性 疾 病 如 酸 碱 和 电 解 质 紊 乱 等 。	O O O B M M M E O B M M M M M M E O O	dis dis
当 右 室 圆 锥 部 进 行 性 肥 厚 ， 右 心 室 增 大 的 体 征 可 较 左 心 室 更 明 显 。	O B M M M E O O O O O O B M M M E O O O O O B M E O O O O	bod dis bod
一 些 先 天 性 骨 髓 性 疾 病 中 发 生 A M L 的 机 会 也 增 加 。	O O O O O O O O O O O O O B M E O O O O O O O	dis
G H 的 分 泌 高 峰 发 生 在 G H R H 的 分 泌 高 峰 ， 同 时 又 是 生 长 抑 素 分 泌 的 低 谷 。	B E O O O O O O O O B M M E O O O O O O O O O O B M M E O O O O O O	bod bod bod
可 有 低 热 、 不 适 、 轻 微 上 呼 吸 道 炎 症 表 现 ， 如 咳 嗽 、 流 涕 、 结 合 膜 充 血 和 咽 红 等 。	O O B E O O O O B M B M M M M E O O O O B E O B E O B M E M E O B E O O	sym sym dis sym sym bod sym sym
第 九 节 输 尿 管 膨 出 输 尿 管 膨 出 亦 称 输 尿 管 囊 肿 ， 是 指 膀 胱 内 黏 膜 下 输 尿 管 末 端 的 囊 性 扩 张 。	O O O B M M M E B M M M E O O B M M M E O O O B E O B M M M M M M E O O O O O O	dis O dis dis bod bod
（ 二 ） 第 二 阶 段 中 肠 回 纳 入 腹 1 . 头 侧 段 的 发 育 肠 段 继 续 发 育 ， 于 孕 1 0 周 （ 此 时 胚 胎 长 约 4 0 m m ） 开 始 返 回 腹 腔 ， 至 孕 1 1 周 完 成 。	O O O O O O O B E O O O O O O O O O O O O B E O O O O O O O O O O O O O O O O O O O O O O O O O O B E O O O O O O O O O	bod bod bod
R V H 的 发 生 与 肾 动 脉 狭 窄 发 生 的 速 度 和 时 期 有 一 定 关 系 ， 肾 动 脉 发 生 栓 塞 的 数 分 钟 内 可 出 现 高 血 压 ， 即 急 性 期 ， 此 时 多 为 肾 素 依 赖 性 高 血 压 ， 如 应 用 A C E I 可 使 血 压 迅 速 有 效 地 下 降 ， 数 日 或 数 周 后 进 入 过 渡 期 ， 此 期 的 血 浆 肾 素 和 血 管 紧 张 素 仍 维 持 较 高 水 平 ， 但 钠 、 水 潴 留 已 起 作 用 ，	B M E O O O O B M E M E O O O O O O O O O O O O O O B M E M M M E O O O O O O O O B M E O O O O O O O O O O B M M M M M M E O O O O B M M E O O B E M M M M M M E O O O O O O O O O O O O O O O O B M M E M B M M M E M M M M M M E O O B M M M E O O O O O	dis bod sym bod sym dis dis dru ite sym bod O sym bod O sym
， 以 上 治 疗 无 效 、 病 情 危 重 或 高 度 耐 药 者 （ M I C ＞ 4 . 0 μ g / m l ） 应 选 用 第 三 代 头 孢 霉 素 ， 如 头 孢 噻 肟 、 头 孢 曲 松 或 万 古 霉 素 。	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B M M E O B M M E O B M M E O	dru dru dru
（ 4 ） 反 复 发 作 性 室 性 心 动 过 速 伴 血 流 动 力 学 损 害 并 可 接 受 导 管 消 融 者 。	O O O B M M M M M M M M M M M M M M M M M E O O O O B M M E O O	dis pro
肾 上 腺 皮 质 激 素 能 抑 制 免 疫 反 应 ， 对 免 疫 性 溶 血 性 贫 血 有 效 。	B M M M M M E O O O O O O O O O B M M M M M M E O O O	bod dis
8 . 非 血 液 学 综 合 征 如 D o w n ， D u b o w i t z ， S e c k e l 综 合 征 等 。	O O B M M M M M E O B M M E O B M M M M M M E O B M M M M M M M E O O	dis dis dis dis
虽 然 I V H 是 早 产 儿 的 常 见 病 ， 但 足 月 儿 也 可 发 生 ， 足 月 儿 I V H 的 起 源 主 要 为 脉 络 膜 丛 和 室 管 膜 下 残 存 的 生 发 基 质 。	O O B M E O O O O O O O O O O O O O O O O O O B M M M M E O O O O O O B M M E O B M E O O O O B M M E O	dis dis bod bod bod
根 据 目 前 国 内 检 出 病 原 （ 肺 炎 链 球 菌 、 脑 膜 炎 双 球 菌 及 流 感 杆 菌 为 主 ） ， 首 选 头 孢 三 嗪 或 头 孢 噻 肟 ， 头 孢 三 嗪 ［ 1 0 0 m g / （ k g • d ） ， 分 2 次 ］ ， 具 有 广 谱 、 高 效 、 半 衰 期 长 、 对 革 兰 阴 性 杆 菌 作 用 效 果 好 以 及 使 用 方 便 等 优 点 ， 已 成 为 治 疗 婴 幼 儿 化 脓 性 脑 膜 炎 的 常 用 药 物 ，	O O O O O O O O O O O B M M M E O B M M M M E O B M M E O O O O O O B M M E O B M M E O B M M E O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B M M M M E O O O O O O O O O O O O O O O O O O O O O O O B M M M M E O O O O O O	mic mic mic dru dru dru mic dis
也 可 用 于 皮 肤 涂 搽 ， 治 疗 经 皮 肤 感 染 的 美 洲 钩 虫 。	O O O O B M M E O O O O B E O O O B M M E O	pro bod mic
两 心 房 的 静 脉 部 组 成 不 同 ， 但 固 有 心 房 部 均 由 心 耳 及 小 梁 组 成 ， 房 室 通 道 部 均 由 房 室 瓣 及 房 室 隔 所 组 成 。	O B E O B M E O O O O O O O O B M E O O B E O B E O O O B M M M E O O B M E O B M E O O O O	bod bod bod bod bod bod bod bod
2 < / s u b > D 3 < / s u b > 以 及 前 列 腺 素 ； ② 作 为 靶 器 官 对 外 分 泌 激 素 的 反 应 能 力 ： 如 A D H 和 P T H 等 可 作 用 于 肾 脏 ； ③ 降 解 部 分 内 分 泌 激 素 如 胰 岛 素 等 。	O O O O O O O O O O O O O O O O O B M M E O O O O B M E O B M M M E O O O O O O O B M E O B M E O O O O O B E O O O O O O B M M M E O B M E O O	bod bod bod bod bod bod bod bod
3 . 通 过 从 男 性 尿 道 和 女 性 子 宫 内 膜 分 离 到 病 原 可 明 确 诊 断 。	O O O O O O O B E O O O B M M E O O O O O O O O O O O	bod bod
唾 液 腺 感 染 最 为 突 出 ， 其 他 包 括 内 耳 、 胰 腺 、 心 脏 、 神 经 系 统 （ 脑 膜 和 脑 ） 、 关 节 、 肾 、 肝 、 性 腺 和 甲 状 腺 。	B M E M E O O O O O O O O O B E O B E O B E O B M M E O B E O S O O B E O S O S O B E O B M E O	bod sym bod bod bod bod bod bod bod bod bod bod bod
常 用 的 口 服 有 肾 灵 片 （ 含 9 种 必 需 氨 基 酸 ） 也 称 开 同 片 （ k e t o s t e r i l ） ， 静 脉 滴 注 的 有 肾 必 氨 （ 含 9 种 必 需 氨 基 酸 ） 注 射 液 。	O O O O O O B M E O O O O O O O O O O O O B M E O B M M M M M M M M E O O O O O O O O B M E O O O O O O O O O O O O O O	dru dru dru dru
浓 缩 功 能 障 碍 见 于 急 、 慢 性 肾 功 能 不 全 、 肾 间 质 损 伤 及 肾 小 管 疾 病 等 。	B M M M M E O O B M M M M M M M E O B M M M E O B M M M E O O	sym dis dis dis
本 药 不 良 反 应 常 有 皮 疹 、 发 热 、 关 节 痛 、 骨 髓 抑 制 、 类 狼 疮 反 应 以 及 肾 损 害 （ 肾 病 综 合 征 ） 等 ， 因 此 ， 只 用 于 上 述 一 般 治 疗 不 能 控 制 以 及 出 现 严 重 胱 氨 酸 结 石 的 病 例 。	O O O O O O O O B E O B E O B M E O B M M E O B M E O O O O B M E O B M M M E O O O O O O O O O O O O O O O O O O O O O O O B M M M M M E O O O O	dis dis dis dis dis dis dis dis
主 要 症 状 如 下 ： 1 . 发 热 急 性 感 染 者 均 有 发 热 ， 热 型 不 一 ， 常 为 弛 张 热 、 间 歇 热 或 不 规 则 热 ； 体 温 多 达 3 9 ℃ 以 上 ， 早 晨 低 ， 晚 间 高 ， 开 始 有 寒 冷 感 。	O O O O O O O O O B E O O O O O O O B E O O O O O O O O B M E O B M E O B M M E O B M M M M M M M M M M M M M M M M M M M M M M E O	sym sym sym sym sym sym
葡 萄 球 菌 肺 炎 @ 由 于 金 葡 菌 可 产 生 多 种 毒 素 和 酶 ， 具 有 高 度 组 织 破 坏 性 和 化 脓 趋 势 ， 因 而 金 葡 菌 肺 炎 以 广 泛 出 血 性 坏 死 、 多 发 性 小 脓 疡 形 成 为 特 点 。	B M M M M E O O O B M E O O O O O O O O O O O O O O O O O O O O O O O O O O O B M M M E O O O B M M M E O B M M M M E O O O O O O	dis mic dis sym sym
为 控 制 炎 症 过 程 ， 延 缓 肺 部 病 变 的 发 展 ， 有 人 提 出 应 用 皮 质 激 素 吸 入 治 疗 ， 但 迄 今 尚 缺 乏 肯 定 有 效 的 证 据 ， 常 规 应 用 仅 限 于 伴 有 严 重 反 应 性 气 道 疾 病 者 。	O O O B E O O O O O B M M E O O O O O O O O O O B M M M M M M E O O O O O O O O O O O O O O O O O O O O O O O O B M M M M M M M E O O	dis sym pro dis
全 身 严 重 反 应 （ 过 敏 反 应 ） 很 罕 见 。	O O O O O O O B M M E O O O O O	sym
有 时 表 现 为 呼 吸 暂 停 ， 发 作 频 繁 ， 发 作 持 续 时 间 较 短 。	O O O O O O O O O O O O B E O O O O O O O O O O	sym
深 部 肿 瘤 常 发 生 于 腮 腺 、 颊 黏 膜 、 喉 和 口 咽 部 ， 治 疗 上 类 似 眼 眶 部 肿 瘤 ， 成 活 率 为 8 3 % 。	B M M E O O O O B E O B M E O S O B M E O O O O O O B M M M E O O O O O O O O O	dis bod bod bod bod dis
依 α 重 链 抗 原 性 不 同 ， 将 I g A 分 为 2 个 血 清 型 ， 即 I g A 1 < / s u b > 和 I g A 2 < / s u b > 。	O O O O O O O O O O O B M E O O O O O O O O O B M M E O O O O O O O B M M E O O O O O O O	bod bod bod
5 . 抗 蛋 白 酶 肺 内 抗 蛋 白 酶 如 α 1 - 抗 胰 蛋 白 酶 、 α 1 - 抗 糜 蛋 白 酶 均 为 特 异 性 的 肺 内 蛋 白 酶 抑 制 物 。	O O B M M E B M M M M E O B M M M M M M E O B M M M M M M E O O O O O O B M M M M M M E O	bod O bod bod bod bod
此 外 ， 脑 干 区 域 、 迷 走 神 经 核 及 脑 干 网 状 结 构 的 酪 氨 酸 羟 化 酶 改 变 亦 提 示 肾 上 腺 素 和 去 甲 肾 上 腺 素 神 经 功 能 异 常 。	O O O B E O O O B M M M E O B E O O O O O B M M M M E O O O O O B M M E O B M M M M E O O O O O O O	bod bod bod bod bod bod
（ 三 ） 手 足 徐 动 症 （ a t h e t o s i s ） 此 症 表 现 为 缓 慢 蠕 动 样 、 联 合 性 的 不 自 主 运 动 ， 是 脑 性 瘫 痪 的 一 种 类 型 ， 根 据 病 史 、 肌 张 力 和 腱 反 射 的 改 变 等 ， 不 难 鉴 别 。	O O O B M M M E O B M M M M M M M E O O O O O O B M M M E O B M M M M M M M E O O B M M E O O O O O O O O O O O O O O O O O O O O O O O O O O O O	dis dis sym sym dis
二 、 临 床 表 现 （ 一 ） 脑 出 血 系 指 脑 实 质 内 血 管 破 裂 所 致 的 出 血 。	O O O O O O O O O B M E O O B M M M M M M M M M M M E O	sym sym
纤 维 膜 紧 贴 肾 实 质 ， 易 于 剥 离 。	O O O O O B M E O O O O O O	bod
顺 行 的 右 心 室 依 赖 性 冠 脉 循 环 球 囊 封 闭 术 或 经 逆 行 升 主 动 脉 造 影 可 以 证 实 有 无 冠 脉 狭 窄 或 中 断 ， 某 些 患 者 需 用 冠 状 动 脉 造 影 才 能 明 确 冠 脉 的 走 行 （ 图 9 - 9 ） 。	O O O B M M M M M M M M E B M M M E O O O O O B M M M E O O O O O O B E O O O O O O O O O O O O B M M M M E O O O O B E O O O O O O O O O O	bod O pro pro bod pro bod
目 前 已 发 现 β 基 因 突 变 有 数 十 种 。	O O O O O B M E O O O O O O O	bod
【 流 行 病 学 】 疟 疾 在 我 国 分 布 很 广 ， 全 国 大 致 可 分 为 四 个 区 ： ① 黄 河 以 北 为 低 疟 区 ， 多 为 间 日 疟 ， 少 数 三 日 疟 ， 无 恶 性 疟 ； ② 黄 河 与 长 江 之 间 为 中 度 疟 区 ， 间 日 疟 多 于 恶 性 疟 ； ③ 长 江 以 南 至 沿 海 为 高 疟 区 ， 各 种 疟 疾 都 有 ； ④ 西 北 地 区 是 高 寒 干 热 地 带 ， 为 全 国 疟 疾 最 轻 地 区 。	O O O O O O B E O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B M E O O O B M E O O B M E O O O O O O O O O O O O O O O B M E O O B M E O O O O O O O O O O O O O O O O B E O O O O O O O O O O O O O O O O O O O B E O O O O O	dis dis dis dis dis dis dis dis
有 些 副 作 用 如 恶 心 、 呕 吐 、 嗜 睡 ， 可 在 开 始 治 疗 的 一 周 内 得 到 解 决 ， 但 另 一 些 需 要 积 极 治 疗 。	O O O O O O B E O B E O B E O O O O O O O O O O O O O O O O O O O O O O O O O O O	sym sym sym
眼 眶 肿 瘤 预 后 最 好 ， 而 脑 膜 周 围 肿 瘤 预 后 最 差 。	B M M E O O O O O O B M M M M E O O O O O	dis dis
发 病 前 可 有 外 伤 以 及 过 度 兴 奋 等 诱 因 。	O O O O O B M M M M M M E O O O O	sym
（ 二 ） 接 触 明 火 多 见 于 2 岁 以 上 小 儿 ， 在 缺 乏 防 护 情 况 下 接 触 炉 火 、 火 柴 、 易 燃 物 突 然 燃 烧 后 烫 伤 ， 其 受 伤 边 界 通 常 不 很 清 楚 。	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B E O O B M M M M M M M M E O	sym sym
（ 二 ） 心 脏 方 面 的 症 状 原 有 的 心 脏 杂 音 可 因 心 脏 瓣 膜 的 赘 生 物 而 发 生 改 变 ， 出 现 粗 糙 、 响 亮 、 呈 海 鸥 鸣 样 或 音 乐 样 的 杂 音 。	O O O B E O O O O O O O O B M M E O O B M M E O O O O O O O O O O O O B M M M M M M M M M M M M M M M M E O	bod sym bod sym
中 肠 扭 转 目 前 无 法 预 测 何 时 或 在 何 种 情 况 下 会 发 生 ， 故 对 胆 汁 性 呕 吐 患 儿 ， 必 须 积 极 诊 治 ， 绝 不 允 许 只 作 观 察 而 任 其 发 展 至 绞 窄 性 肠 梗 阻 。	B M M E O O O O O O O O O O O O O O O O O O O O O B M M M E O O O O O O O O O O O O O O O O O O O O O O O O B M M M M E O	sym sym dis
推 荐 起 始 剂 量 为 0 . 1 5 ～ 0 . 3 m g / k g ， 口 服 ， q 4 h ， 个 体 化 调 整 至 疼 痛 缓 解 。	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B E O O O	sym
由 于 是 间 歇 性 和 低 水 平 的 菌 血 症 ， 对 可 疑 病 例 应 反 复 取 血 培 养 。	O O O B M M M M M M M B M E O O O O O O O O O O B M E O	sym dis pro
许 多 动 物 和 临 床 流 行 病 学 研 究 显 示 硒 对 心 血 管 和 眼 的 健 康 有 保 护 作 用 ； 而 且 与 维 生 素 E 有 重 要 的 协 同 作 用 。	O O O O O O O O O O O O O O O O O B M E O S O O O O O O O O O O O O O O O O O O O O O O O O O	bod bod
体 格 检 查 可 发 现 体 循 环 心 输 出 量 减 少 ， 体 肺 循 环 静 脉 淤 血 ， 心 动 过 速 是 机 体 增 加 心 输 出 量 的 一 种 适 应 性 代 偿 。	B M M E O O O O O O O O O O O O O B M M M M M M E O B M M E O O O O O S O O O O O O O O O O O O	ite sym sym bod
（ 三 ） 磷 酸 纤 维 素 钠 为 一 种 不 被 肠 道 吸 收 的 离 子 交 换 树 脂 ， 能 减 少 肠 道 钙 的 吸 收 ， 从 而 减 少 尿 钙 排 出 ， 对 吸 收 型 有 效 。	O O O B M M M M E O O O O O O O O O O O O O O O O O O B M M M M M M E O O O B M B E M E O O O O O O O O	dru sym O sym ite O
（ 一 ） 经 皮 球 囊 肺 动 脉 瓣 成 形 术 近 3 0 年 来 ， 通 过 对 P B P V 的 适 应 证 、 方 法 学 、 术 前 后 血 流 动 力 学 、 作 用 机 制 及 随 访 等 进 行 深 入 综 合 研 究 ， 表 明 P B P V 为 简 便 、 有 效 、 安 全 、 经 济 的 治 疗 典 型 肺 动 脉 瓣 狭 窄 的 首 选 方 法 ， 在 大 部 分 病 例 P B P V 可 替 代 外 科 开 胸 手 术 。	O O O B M M M M M M M M M E O O O O O O O O O B M M E O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B M M E O O O O O O O O O O O O O O O B M M M M M M E O O O O O O O O O O O O B M M E O O O B M M M M E O	pro pro pro dis pro pro
， 我 国 扩 大 国 家 免 疫 规 划 实 施 方 案 ， 将 乙 型 肝 炎 、 结 核 病 、 脊 髓 灰 质 炎 、 百 日 咳 、 白 喉 、 破 伤 风 、 麻 疹 、 甲 型 肝 炎 、 流 行 性 脑 脊 髓 膜 炎 、 流 行 性 乙 型 脑 炎 、 风 疹 、 流 行 性 腮 腺 炎 、 流 行 性 出 血 热 、 炭 疽 和 钩 端 螺 旋 体 病 等 1 5 种 疫 苗 可 预 防 的 传 染 病 列 入 国 家 免 疫 规 划 。	O O O O O O O O O O O O O O O O O B M M E O B M E O B M M M E O B M E O B E O B M E O B E O B M M E O B M M M M M M E O B M M M M M E O B E O B M M M M E O B M M M M E O B E O B M M M M E O O O O O O O O O O O O O O O O O O O O O O	dis dis dis dis dis dis dis dis dis dis dis dis dis dis dis
国 内 第 五 届 儿 科 免 疫 学 术 会 议 提 出 为 了 早 期 诊 断 J A S ， 建 议 将 J R A 少 关 节 Ⅱ 型 病 例 中 的 年 长 男 孩 ， 伴 肌 腱 附 着 处 炎 症 ， H L A - B 2 7 阳 性 ， 下 肢 关 节 炎 为 主 ， 早 期 侵 犯 髋 关 节 ， 有 强 直 性 脊 柱 炎 家 族 史 的 患 儿 诊 断 为 早 期 J A S ， 一 旦 有 骶 髂 关 节 炎 证 据 时 即 可 确 诊 J A S 。	O O O O O O O O O O O O O O O O O O O O O B M E O O O O B M M M M M M E O O O O O O O O O O B M M M M M E O B M M M M M M M E O B M M M E O O O O O O O B M E O O B M M M M E O O O O O O O O O O O O O O O O O O B M M M E O O O O O O O B M E O	dis dis dis dis dis bod dis dis dis
少 数 左 位 动 脉 导 管 发 生 于 右 位 主 动 脉 弓 ， 连 接 左 肺 动 脉 与 左 头 臂 动 脉 。	O O B M M M M E O O O B M M M M E O O O B M M E O B M M M E O	dis bod bod bod
二 、 常 见 疾 病 的 影 像 诊 断 （ 一 ） 食 管 闭 锁 和 食 管 气 管 瘘 先 天 性 食 管 闭 锁 及 食 管 气 管 瘘 （ c o n g e n i t a l e s o p h a g e a l a t r e s i a a n d t r a c h e o e s o p h a g e a l f i s t u l a ） 是 新 生 儿 常 见 的 胃 肠 道 畸 形 。	O O O O O O O O O O O O O O B M M E O B M M M E B M M M M M E O B M M M E O B M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M E O O O O O O O O B M M M E O	dis dis O dis dis dis dis
第 二 节 生 理 特 点 肾 脏 的 生 理 功 能 主 要 为 排 泄 体 内 代 谢 产 物 如 尿 素 和 有 机 酸 等 ； 调 节 水 和 电 解 质 平 衡 ， 维 持 内 环 境 稳 定 以 及 内 分 泌 功 能 如 分 泌 肾 素 、 前 列 腺 素 以 及 促 红 细 胞 生 成 素 等 。	O O O O O O O B E O O O O O O O O O O O O B M M E O B E O B M E O O O O S O B M E O O O O O O O O O O O O B M E O O O O O B E O B M M E O O B M M M M M E O O	bod bod bod bod bod bod bod bod bod bod
蛋 白 含 量 显 著 最 高 多 提 示 脑 脊 液 循 环 发 生 障 碍 ， 脊 髓 蛛 网 膜 炎 性 粘 连 ， 椎 管 梗 阻 脑 脊 液 糖 含 量 降 低 氯 化 物 降 低 ， 较 化 脓 性 脑 膜 炎 明 显 。	B M M E M M M E O O O B M E M M M M M E O B M M M E M M M E O B E M E B M M E M M M E B M M M E O O B M M M M E O O O	ite sym bod sym bod sym bod sym O O O bod sym O sym dis
不 良 反 应 有 醛 固 酮 效 应 ， 水 、 钠 潴 留 ， 低 血 钾 ， 高 血 压 等 。	O O O O O B M M M E O B M M M E O B M E O B M E O O	sym sym sym sym
P G Ⅰ 存 在 5 种 亚 型 ， 分 布 于 胃 体 主 细 胞 ， P G Ⅱ 存 在 于 胃 体 及 胃 窦 。	B M E O O O O O O O O O O B M M M E O B M E O O O B E O B E O	bod bod bod bod bod
手 术 要 求 达 到 完 全 矫 正 阴 茎 下 弯 、 尿 道 正 位 开 完 全 矫 正 阴 茎 下 弯 、 尿 道 正 位 开 口 于 阴 茎 头 、 能 站 立 排 尿 以 及 成 年 后 能 进 行 正 常 性 生 活 的 目 的 术 方 法 有 2 0 0 多 种 ， 但 至 今 尚 无 一 种 满 意 的 被 所 有 医 师 接 受 的 术 式 。	O O O O O O O O O O B E O O O O O O O O O O O O B E O O O B E O O O O O B M E O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	bod bod bod bod
目 前 疱 疹 病 毒 、 肠 道 病 毒 （ 除 脊 髓 灰 质 炎 病 毒 外 ） 和 呼 吸 道 病 毒 （ 如 腺 病 毒 ） 等 几 类 病 毒 感 染 占 本 病 的 大 多 数 。	O O B M M E O B M M E O O O O O O O O O O O O B M M M E O O B M E O O O O O O O O O O O O O O O O	mic mic mic mic
根 据 病 理 改 变 调 整 治 疗 方 案 ， 如 有 新 月 体 形 成 或 局 灶 节 段 性 肾 小 球 硬 化 者 加 用 甲 基 泼 尼 松 龙 和 （ 或 ） 环 磷 酰 胺 冲 击 治 疗 ； ④ 对 治 疗 无 反 应 、 仍 呈 肾 功 能 进 行 性 减 退 者 停 用 激 素 和 免 疫 抑 制 剂 ， 以 对 症 和 肾 替 代 疗 法 为 主 。	O O O O O O O O O O O O O O O B M M M E O B M M M M M M M M E O O O B M M M M E O O O O B M M E O O O O O O O O O O O O O O O B M M M M M M E O O O B E O B M M M E O O O O O B M M M E O O O	sym sym dru dru sym dru dru pro
尿 道 畸 形 、 严 重 尿 道 炎 和 尿 道 周 围 脓 肿 则 为 其 禁 忌 证 。	B M M E O B M M M E O B M M M M E O O O O O O O	dis dis dis
3 . 注 意 事 项 （ 1 ） 检 查 前 须 停 药 ： β 受 体 兴 奋 剂 （ 沙 丁 胺 醇 等 ） 应 停 用 1 2 小 时 以 上 ， 缓 释 型 停 用 2 4 小 时 以 上 ； 甲 基 黄 嘌 呤 类 （ 茶 碱 ） 普 通 型 停 用 1 2 小 时 以 上 ， 缓 释 型 停 用 2 4 小 时 以 上 ， 抗 胆 碱 能 类 药 （ 异 丙 溴 托 胺 等 ） 停 用 1 2 小 时 以 上 ； 抗 组 织 胺 类 药 停 用 4 8 小 时 以 上 ；	O O O O O O O O O O O O O O O O B M M M M E O B M M E O O O O O O O O O O O O O O O O O O O O O O O O B M M M M E O B E O O O O O O O O O O O O O O O O O O O O O O O O O B M M M M E O B M M M E O O O O O O O O O O O B M M M M E O O O O O O O O O	dru dru dru dru dru dru dru
其 他 类 型 的 右 室 双 出 口 体 肺 循 环 平 衡 良 好 ， 往 往 在 新 生 儿 期 后 才 逐 渐 出 现 青 紫 或 缺 氧 发 作 。	O O O O O B M M M E B M M E O O O O O O O O O O O O O O O O O O B E O B E O O O	dis O bod sym sym
某 些 病 例 仅 显 示 轻 微 变 化 ， 如 小 组 同 型 肌 群 化 ， 少 量 萎 缩 肌 纤 维 等 ； 其 形 态 大 致 正 常 。	O O O O O O O O O O O O O B M M M M M E O B M M M M M E O O O B M M M M E O	sym sym sym
其 发 生 原 理 与 感 染 影 响 脑 神 经 垂 体 ， 抗 利 尿 激 素 分 泌 过 多 导 致 水 潴 留 有 关 。	O O O O O O O O O O B M M M E O B M M M E M M M E O O B M E O O O	bod bod sym sym
利 用 漂 浮 导 管 ， 经 心 房 间 交 通 进 入 左 心 房 、 左 心 室 。	O O B M M E O O B E O O O O O B M E O B M E O	equ bod bod bod
肌 张 力 低 下 ， 肌 肉 松 弛 ， 中 度 肝 脏 肿 大 ， 高 脂 血 症 育 正 常 。	B M M M E O B E M E O B M B E M E O B M M E O O O O	sym bod sym O sym bod O dis
